Film,Rating,Year
Scenes From A Mall,3.0,1991
Slacker,3.5,1991
Soap Dish,2.25,1991
Star Trek VI,3.75,1991
Terminator 2,3.75,1991
The Beautiful Troublemaker,2.75,1991
The Commitments,3.75,1991
The Doctor,2.5,1991
The Double Life Of Veronique,3.25,1991
The Efficiency Expert,2.75,1991
The Grifters,4.0,1991
The Hairdresser's Husband,3.5,1991
The Hard Way,3.5,1991
The Killer,3.25,1991
The Silence of the Lambs,4.0,1991
Thelma & Louise,3.0,1991
"Truly, Madly,Deeply",2.75,1991
What About Bob,3.0,1991
A Shock To The System,3.5,1990
After Dark My Sweet,3.25,1990
Awakenings,3.5,1990
Back to the Future 3,3.0,1990
Cadillac Man,3.0,1990
Cinema Paradiso,3.5,1990
Dances With Wolves,3.75,1990
Dick Tracy,3.0,1990
Die Hard 2,3.0,1990
Dreams,3.5,1990
"Enemies, A Love Story",3.5,1990
Europa Europa,3.5,1990
Ghost,3.0,1990
Glory,3.75,1990
Goodfellas,4.0,1990
Hamlet,3.0,1990
Henry And June,3.5,1990
Home Alone,3.0,1990
I Love You to Death,3.25,1990
Impromptu,3.75,1990
Jacob's Ladder,3.25,1990
Jesus Of Montreal,3.5,1990
Joe Vs the Volcano,3.0,1990
Kindergarden Cop,2.75,1990
King Of New York,3.25,1990
Leningrad Cowboys Go America,2.5,1990
Metropolitan,3.5,1990
Miam Blues,2.5,1990
Miller's Crossing,3.75,1990
Mississippi Masala,3.5,1990
Mo'  Better Blues,3.25,1990
Monsieur Hure,3.5,1990
My Blue Heaven,3.0,1990
Mystery Train,3.25,1990
Narrow Margin,2.5,1990
Postcards From the Edge,3.0,1990
Presumed Innocent,3.5,1990
Pretty Woman,3.25,1990
Q & A,2.75,1990
Reversal of Fortune,3.75,1990
Teenage Mutant Ninja Turtles,1.0,1990
"The Cook, The Thief, His Wifeï¿½",3.25,1990
The Freshman,3.25,1990
The Godfather III,2.75,1990
The Gods Must be Crazy,3.0,1990
The Sheltering Sky,2.75,1990
The Tall Guy,3.0,1990
The Unbelievable Truth,3.0,1990
Total Recall,3.25,1990
Tremors,2.5,1990
Tune in Tomorrow,3.25,1990
Apartment Zero,3.25,1989
Babette's Feast,3.5,1989
Back to the Future 2,3.25,1989
Batman,3.0,1989
Blaze,3.5,1989
Breaking In,3.5,1989
Cookie,3.0,1989
Cousins,2.5,1989
Crimes and Misdemeanors,3.75,1989
Dead Poets Society,3.25,1989
Do The Right Thing,4.0,1989
Driving Miss Daisy,4.0,1989
Drugstore Cowboy,3.5,1989
Eat A Bowl Of Tea,2.5,1989
Farewell To The King,3.0,1989
Field Of Dreams,3.5,1989
Ghostbusters 2,3.0,1989
Great Balls of Fire,3.0,1989
Gross Anatomy,3.5,1989
Indiana Jones & the Last Crusade,3.25,1989
Kiki's Delivery Service,3.0,1989
Lean on Me,3.25,1989
Lethal Weapon II,2.75,1989
License To Kill,3.5,1989
Miracle Mile,2.5,1989
My Left Foot,3.75,1989
Roger and Me,3.0,1989
Rosalie Goes Shopping,2.75,1989
Say Anything,4.0,1989
"Sex, Lies And Videotape",3.75,1989
Star Trek V,1.0,1989
Strapless,3.25,1989
Tap ,3.0,1989
The Big Picture,3.25,1989
The Fabulous Baker Boys,3.5,1989
The Little Mermaid,3.5,1989
The Mighty Quinn,4.0,1989
The Package,2.5,1989
The War of the Roses,3.5,1989
True Believer,3.5,1989
True Love,2.75,1989
When Harry Met Sally,3.75,1989
A Fish Called Wanda,3.75,1988
A Taxing Woman,3.0,1988
Alien Nation,3.0,1988
Au Revoir Les Enfants,3.5,1988
Big,3.5,1988
"Bright Lights, Big City",3.0,1988
Bull Durham,4.0,1988
Buster,2.75,1988
Cane Toads,3.0,1988
Coming To America,2.25,1988
Die Hard,3.0,1988
Dirty Rotten Scoundrels,3.0,1988
Eight Men Out,3.25,1988
Everbody's All American,3.25,1988
Frantic,3.25,1988
Hairspray,3.0,1988
Housekeeping,3.5,1988
How To Get Ahead In Advertising,3.25,1988
It's Impossible To Learn To Plow By Reading Books,2.5,1988
Little Nikita,2.5,1988
Married To The Mob,3.0,1988
Midnight Run,3.5,1988
Moon Over Parador,2.75,1988
Moonstruck,4.0,1988
Mystic Pizza,3.5,1988
Naked Gun,2.75,1988
Powaqqatsi,2.25,1988
Rain Man,3.5,1988
Running On Empty,3.0,1988
Scrooged,3.25,1988
Slam Dance,3.25,1988
Tapeheads,3.0,1988
Tequila Sunrise,2.75,1988
The Accidental Tourist,4.0,1988
The Big Blue,1.5,1988
The Chocolate War,3.5,1988
The Dead Pool,2.75,1988
The Land Before Time,3.0,1988
The Last Temptation Of Christ,4.0,1988
The Thin Blue Line,3.5,1988
The Unbearable Lightness of Being,3.75,1988
The Vanishing,3.5,1988
The Year My Voice Broke,3.5,1988
Things Change,3.75,1988
To Live And Die In LA,3.5,1988
Tucker,3.5,1988
Twins,3.0,1988
Two Moon Junction,1.0,1988
Who Framed Roger Rabbit,4.0,1988
Women on The Verge Of A Nervous Breakdown,3.25,1988
Working Girl,3.25,1988
Angel Heart,2.5,1987
Baby Boom,2.5,1987
Bagdad Cafï¿½,3.5,1987
Beverly Hills Cop II,3.0,1987
Black Widow,2.75,1987
Blind Chance,2.5,1987
Broadcast News,3.5,1987
Dirty Dancing,3.0,1987
Dragnet,2.5,1987
Empire Of The Sun,3.5,1987
Evil Dead 2,2.5,1987
Fatal Attraction,1.5,1987
Full Metal Jacket,3.0,1987
Good Morning Viet Nam,3.5,1987
Hollywood Shuffle,3.0,1987
Hope and Glory,3.0,1987
House of Games,4.0,1987
Ishtar,2.25,1987
Lethal Weapon,3.75,1987
Making Mr. Right,3.0,1987
Mannequin,1.5,1987
Matewan,3.75,1987
My Neighbor Totoro,3.5,1987
No Way Out,3.0,1987
Outrageous Fortune,2.75,1987
"Planes, Trains & Automobiles",2.5,1987
Prick Up Your Ears,3.25,1987
Radio Days,3.5,1987
Raising Arizona,3.5,1987
Robocop,3.75,1987
Roxanne,3.75,1987
Sammy And Rosie Get Laid,3.25,1987
Spaceballs,2.25,1987
Stakeout,3.0,1987
Street Smart,2.25,1987
Suspect,3.0,1987
Tampopo,3.75,1987
The Big Easy,3.0,1987
The Dead,3.0,1987
The Living Daylights,3.25,1987
The Pick-up Artist,3.25,1987
The Princess Bride,4.0,1987
The Running Man,2.75,1987
The Untouchables,2.75,1987
The Whales Of August,3.5,1987
The Witches of Eastwick,3.0,1987
Then Lost Boys,2.75,1987
Three Men and a Baby,2.5,1987
Throw Momma From the Train,3.0,1987
Tin Men,3.25,1987
Wall Street,3.5,1987
Wings of Desire,3.25,1987
Withnail And I ,3.0,1987
9 1/2 Weeks,2.5,1986
A Room With a View,4.0,1986
About Last Night,3.0,1986
Aliens,4.0,1986
At Close Range,3.0,1986
Black Moon Rising,1.75,1986
Blue Velvet,3.0,1986
Castle In The Sky,3.25,1986
Children of a Lesser God,3.0,1986
Crocodile Dundee,2.5,1986
Crossroads,3.0,1986
Defense Of The Realm,2.75,1986
Desert Bloom,3.25,1986
Down And Out in Beverly Hills,3.5,1986
Down By Law,3.25,1986
Ferris Bueller's Day Off,2.5,1986
Half Moon Street,2.5,1986
Hannah and her Sisters,3.75,1986
Heartbreak Ridge,3.0,1986
Jean De Florette,3.5,1986
"Jo Jo Dancer, Your Life is Calling",3.5,1986
La Ceremonie,3.0,1986
Legal Eagles,3.0,1986
Lucas,3.25,1986
Manhunter,3.5,1986
Manon Of The Spring,3.75,1986
Mona Lisa,3.5,1986
Money Pit,2.25,1986
Peggy Sue Got Married,4.0,1986
Platoon,3.5,1986
Pretty In Pink,3.0,1986
Running Scared,2.5,1986
Ruthless People,3.5,1986
Sherman's March,2.75,1986
She's Got To Have It,3.25,1986
Smooth Talk,3.0,1986
Soul Man,2.5,1986
Stand By Me,4.0,1986
Star Trek IV,3.5,1986
Sweet Liberty,2.5,1986
The Coca Cola Kid,3.5,1986
The Color Of Money,3.5,1986
The Decline Of The American Empire,3.25,1986
The Fly,4.0,1986
The Golden Child,2.5,1986
The Mission,3.5,1986
The Name of the Rose,3.0,1986
Top Gun,3.25,1986
Tough Guys,2.25,1986
Trouble in Mind,2.5,1986
Vagabond,3.5,1986
Wise Guys,3.0,1986
A Chorus Line,3.0,1985
A Soldier's Story,3.0,1985
A View To A Kill,2.75,1985
A Year Of The Quiet Sun,3.5,1985
After Hours,2.5,1985
Agnes Of God,2.75,1985
American Flyers,3.25,1985
Back to the Future,3.75,1985
Brazil,3.0,1985
Choose Me,3.5,1985
Commando,2.0,1985
Desperately Seeking Susan,3.0,1985
Dim Sum,2.75,1985
DOA,1.75,1985
Enemy Mine,2.75,1985
fandango,2.5,1985
George Stevens A Filmakers Journey,3.25,1985
Insignificance,3.0,1985
Jagged Edge,3.0,1985
Jewel of the Nile,2.5,1985
King David,1.0,1985
Kiss of the Spider Woman,3.5,1985
Mad Max Beyond Thunderdome,3.0,1985
Murphy's Romance,3.25,1985
My Beautiful Laundrette,3.25,1985
My Life As A Dog,3.75,1985
Out Of Africa,3.5,1985
Pale Rider,3.0,1985
Prizzi's Honor,3.25,1985
Ran,4.0,1985
Remo Williams,2.75,1985
Rocky IV,2.0,1985
Runaway Train,4.0,1985
Silverado,3.5,1985
Subway,2.75,1985
Sugarbaby,3.0,1985
The Color Purple,4.0,1985
The Funeral,3.0,1985
The Journey of Natty Gann,3.25,1985
The Quiet Earth,3.25,1985
The Shooting Party,3.5,1985
The Sure Thing,3.5,1985
Vision Quest,2.25,1985
White Nights,2.0,1985
Witness,4.0,1985
2010,2.75,1984
28Up,3.75,1984
Against All Odds,2.5,1984
All of Me,3.0,1984
Amadeus,4.0,1984
Beverly Hills Cop,3.0,1984
Body Double,3.0,1984
Broadway Danny Rose,3.5,1984
Comfort and Joy,3.5,1984
Conan The Destroyer,1.5,1984
Footloose,2.25,1984
Ghostbusters,3.75,1984
Greystoke,2.0,1984
Indiana Jones Amd The Temple Doom,2.75,1984
Moscow On The Hudson,3.25,1984
Mrs. Soffel,2.25,1984
Once Upon A Time In America,3.5,1984
"Paris, Texas",3.5,1984
Places in the Heart,3.5,1984
Purple Rain,3.5,1984
Repo Man,3.25,1984
Romancing the Stone,3.5,1984
Secret Honor,3.75,1984
Spinal Tap,4.0,1984
Star Trek III,3.0,1984
Starman,3.5,1984
Stop Making Sense,3.5,1984
Stranger Than Paradise,2.5,1984
Streets Of Fire,2.0,1984
Terminator,3.75,1984
The Adventures Of Buckaroo Banzai,1.5,1984
The Bounty,3.0,1984
The Cotton Club,3.25,1984
The Dresser,3.5,1984
The Falcon And the Snowman,3.25,1984
The Flamingo Kid,3.25,1984
The Hit,3.25,1984
The Karate Kid,3.0,1984
The Natural,3.25,1984
The Purple Rose Of Cairo,3.5,1984
Tightrope,3.0,1984
Top Secret,3.0,1984
Under The Volcano,3.0,1984
A Christmas Story,3.25,1983
Baby It's You,3.25,1983
Betrayal,1.5,1983
Blood Simple,3.5,1983
Blue Thunder,2.75,1983
Confidentially Yours,3.5,1983
Dead Men Don't Wear Plaid,2.0,1983
Educating Rita,2.75,1983
Flashdance,2.5,1983
Gorky Park,2.75,1983
Heart Like A Wheel,2.75,1983
Koyaanisqatsi,2.25,1983
Le Dernier Combat,2.75,1983
Local Hero,4.0,1983
Merry Christmas Mr. Lawrence,2.75,1983
Monty Python's The Meaning of Life,2.75,1983
Never Say Never Again,3.25,1983
Octopussy,3.0,1983
Out Of The Blue,2.5,1983
Pauline At The Beach,3.25,1983
Return of the Jedi,3.75,1983
Richard Pryor Here and Now,3.5,1983
Risky Business,3.75,1983
Runble Fish,2.75,1983
Star80,3.5,1983
Sudden Impact,2.5,1983
Tender Mercies,3.5,1983
Terms of Endearment,4.0,1983
Testament,3.5,1983
The Big Chill,3.5,1983
The Dead Zone,3.25,1983
The Hunger,1.5,1983
The King Of Comedy,3.25,1983
The Outsiders,3.25,1983
The Return of Martin Guerre,3.0,1983
The Right Stuff,4.0,1983
The Year of Living Dangerously,4.0,1983
To Be or Not To Be,2.25,1983
Trading Places,3.5,1983
Valley Girl,2.25,1983
Wargames,3.25,1983
Zelig,2.5,1983
48 Hours,3.5,1982
An Officer and a Gentleman,3.5,1982
Barbarosa,3.0,1982
Blade Runner,3.5,1982
Burden Of Dreams,3.0,1982
Cat People,3.25,1982
Chan is Missing,3.0,1982
Conan The Barbarian,1.5,1982
Das Boot,4.0,1982
Dead Man Don't Wear Plaid,2.0,1982
Deathtrap,3.0,1982
Diner,3.0,1982
Diva,4.0,1982
Eating Raoul,2.5,1982
ET,4.0,1982
Fast Times at Ridgemont High,2.25,1982
Fitzcarraldo,3.5,1982
Ghandi,3.75,1982
Moonlighting,3.5,1982
My Dinner with Andre,4.0,1982
My Favorite Year,3.5,1982
Night Of The Shooting Stars,2.75,1982
Night Shift,2.5,1982
One From The Heart,2.0,1982
Personal Best,3.5,1982
Richard Pryor Sunset Strip,3.5,1982
Star Trek II,3.75,1982
Tender Mercies,3.5,1982
The Atomic Cafï¿½,3.5,1982
The Best Little Whorehouse in Texas,2.25,1982
The Grey Fox,3.75,1982
The Road Warrior,3.5,1982
The Verdict,3.5,1982
"The Weavers, Wasn't That A Time!",3.75,1982
The World According to Garp,3.5,1982
Tootsie,4.0,1982
Veronika Voss,3.25,1982
Victor/Victoria,2.5,1982
White Dog,1.0,1982
Who AM I This Time?,3.5,1982
Absence Of Malice,3.5,1981
Arthur,3.0,1981
Blow Out,2.5,1981
Body Heat,3.75,1981
Chariots of Fire,3.25,1981
Cutter's Way,3.5,1981
Eye of the Needle,3.75,1981
For Your Eyes Only,2.75,1981
Gallipoli,3.5,1981
Gregory's Girl,3.25,1981
Hyams,2.5,1981
Lola,3.5,1981
Mephisto,4.0,1981
Modern Romance,2.75,1981
Neighbors,3.0,1981
On Golden Pond,3.75,1981
Quest for Fire,3.0,1981
Raiders Of The Lost Ark,4.0,1981
Reds,3.25,1981
Rich and Famous,1.5,1981
SOB,2.25,1981
Stripes,3.0,1981
Superman II,3.5,1981
Taps,2.75,1981
The Dogs Of War,3.0,1981
The French Lieutenant's Woman,3.5,1981
They All Laughed,2.75,1981
Thief,3.25,1981
Time Bandits,2.0,1981
True Confessions,3.0,1981
"Vernon, Florida",3.25,1981
Whose Life Is It Anyway?,3.0,1981
Wolfen,2.5,1981
American Gigolo,3.25,1980
Atlantic City,3.75,1980
Blues Brothers,2.25,1980
Breaker Morant,3.5,1980
Bronco Billy,3.0,1980
Caddyshack,2.0,1980
Carny,2.75,1980
Charleen,3.25,1980
Coal Miner's Daughter,3.5,1980
Dressed To Kill,2.5,1980
Fame,3.0,1980
Gloria,3.75,1980
Hopscotch,3.75,1980
How To Beat The High Cost Of Living,2.25,1980
Mad Max,3.0,1980
Melvin and Howard,3.0,1980
Nine To Five,3.0,1980
Popeye,3.0,1980
Private Benjaman,3.25,1980
Raging Bull,4.0,1980
Return Of The Secaucus 7,3.0,1980
Roadie,2.25,1980
Somewhere In Time,2.25,1980
Stardust Memories,3.0,1980
Stir Crazy,2.25,1980
Tess,2.75,1980
The Big Red One,3.25,1980
The Empire Strikes Back,4.0,1980
The Final Countdown,3.0,1980
The Last Metro,3.25,1980
The Long Riders,2.75,1980
The Nude Bomb,1.5,1980
The Stunt Man,3.5,1980
Wholly Moses,1.0,1980
10,2.75,1979
A Little Romance,3.25,1979
A Man A Woman And A Bank,2.5,1979
a Perfect Couple,1.75,1979
Alien,3.5,1979
All That Jazz,3.75,1979
And Justice For All,2.75,1979
Apocalypse Now,3.5,1979
Being There,4.0,1979
Breaking Away,3.5,1979
Hair,2.75,1979
Kramer vs Kramer,4.0,1979
Life of Brian,2.5,1979
Love On The Run,3.25,1979
Manhattan,3.75,1979
Moonraker,2.25,1979
My Brilliant Career,2.75,1979
Norma Rae,3.5,1979
Quintet,1.5,1979
Soldier Of Orange,3.75,1979
Star Trek TMP,2.5,1979
The China Syndrome,3.75,1979
The Electric Horseman,3.25,1979
The Inlaws,3.5,1979
The Jerk,3.0,1979
The Kids are Alright,3.0,1979
The Main Event,2.75,1979
The Marriage Of Maria Braun,3.75,1979
The Muppet Movie,3.25,1979
The Plumber,3.0,1979
The Warriors,2.5,1979
Winter Kills,1.75,1979
An Unmarried Woman,3.25,1978
Animal House,3.25,1978
Big Wednesday,2.5,1978
Blue Collar,3.0,1978
California Suite,3.0,1978
Coming Home,3.5,1978
Crossed Swords,2.25,1978
Days Of Heaven,3.5,1978
Death On The Nile,2.0,1978
Fingers,2.5,1978
FM,2.5,1978
Gates of Heaven,3.75,1978
Go Tell The Spartans,3.25,1978
Grease,2.75,1978
Heaven Can Wait,3.5,1978
House Calls,3.0,1978
I Wanna Hold Your Hand,2.75,1978
Interiors,2.25,1978
Koko: A Talking Gorilla,3.25,1978
Pretty Baby,3.5,1978
Saint Jack,3.0,1978
Superman The Movie,3.0,1978
The Boys From Brazil,2.25,1978
The Buddy Holly Story,3.25,1978
The Chant of Jimmy Blacksmith,3.25,1978
The Fury,3.0,1978
The Great Train Robbery,3.5,1978
The Last Waltz,3.75,1978
Who'll Stop The Rain,3.75,1978
3 Women,3.0,1977
Annie Hall,4.0,1977
Bobby Deerfield,2.5,1977
Close Encounters Of The Third Kind,3.5,1977
Eraserhead,2.0,1977
High Anxiety,3.25,1977
Julia,3.0,1977
Kentucky Fried Movie,2.25,1977
Killer Of Sheep,3.0,1977
La Soufriere,2.5,1977
Looking for Mr. Goodbar,3.5,1977
Mickey & Nicky,3.0,1977
Saturday Night Fever,3.5,1977
Slap Shot,2.75,1977
Sorcerer,2.75,1977
Star Wars,3.75,1977
That Obscure Object of Desire,3.25,1977
The American Friend,3.25,1977
The Deep,2.75,1977
The Duelists,2.75,1977
The Gauntlet,2.25,1977
The Goodbye Girl,3.5,1977
The Late Show,3.0,1977
The Spy Who Loved Me,2.5,1977
The Turning Point,3.75,1977
Welcome To L.A.,3.0,1977
All The President's Men,3.5,1976
Bingo Long & His All-Stars,3.25,1976
Bound For Glory,2.75,1976
Buffalo Bill and the Indians,3.25,1976
Carrie,3.25,1976
Family Plot,3.25,1976
Fun With Dick And Jane,2.25,1976
Grey Gardens,2.5,1976
How Much Wood Would A ï¿½?,2.25,1976
Lifeguard,2.5,1976
Lipstick,1.0,1976
Logan's Run,3.25,1976
Marathon Man,3.75,1976
Murder by Death,2.5,1976
Network,3.5,1976
Nickelodeon,3.0,1976
Robin And Marian,3.5,1976
Rocky,3.5,1976
Seven Beauties,3.5,1976
Silent Movie,2.25,1976
Silver Streak,3.0,1976
Stay Hungry,3.5,1976
Taxi Driver,4.0,1976
The Bad News Bears,3.0,1976
The Enforcer,2.75,1976
The Front,3.25,1976
The Killing Of A Chinese Bookie,3.25,1976
The Man Who Fell To Earth,3.5,1976
The Missouri Breaks,2.5,1976
The Outlaw Josey Wales,2.75,1976
The Pink Panther Strikes Again,1.5,1976
The Seven Percent Solution,3.5,1976
The Shootist,3.5,1976
3 Days Of The Condor,3.5,1975
A Boy And His Dog,2.75,1975
Bite The Bullet,3.0,1975
Dog Day Afternoon,4.0,1975
Jaws,4.0,1975
Love and Death,2.75,1975
Monty Python And The Holy Grail,3.5,1975
Nashville,4.0,1975
Once is Not Enough,1.5,1975
One Flew Over the Cuckoo's Nest,3.75,1975
Overlord,3.0,1975
Rafferty and The Gold Dust Twins,3.25,1975
Rancho Deluxe,1.5,1975
Shampoo,3.5,1975
Smile,3.5,1975
The Cars That Ate Paris,2.75,1975
The Drowning Pool,3.0,1975
The Eiger Sanction,2.5,1975
The Great Waldo Pepper,3.25,1975
The Man In The Glass Booth,3.5,1975
The Man Who Would Be King,3.5,1975
The Naked Civil Servent,3.0,1975
The Passenger,3.5,1975
The Story Of Adele H,3.25,1975
The Wind And The Lion,3.0,1975
The Yakuza,3.0,1975
Tommy,2.25,1975
Ali: Fear Eats The Soul,3.5,1974
Alice Doesnï¿½t Live Here Anymore,3.25,1974
Badlands,3.25,1974
Bank Shot,2.5,1974
Blazing Saddles,4.0,1974
Bring Me The Head Of Alfredo Garcia,3.25,1974
California Split,3.25,1974
Chinatown,4.0,1974
F Is For Fake,3.25,1974
For Pete's Sake,2.5,1974
Harry and Tonto,3.25,1974
"Lacombe, Lucien",3.75,1974
Lenny,3.5,1974
Man On A Swing,2.5,1974
Murder on the Orient Express,3.5,1974
Swept Away,2.5,1974
That's Entertainment,3.0,1974
The 4 Musketeers,3.5,1974
The Conversation,3.5,1974
The Gambler,3.5,1974
The Godfather II,4.0,1974
The Great Gatsby,2.5,1974
The Longest Yard,2.75,1974
The Man With The Golden Gun,2.75,1974
The Odessa File,3.5,1974
The Parallax View,3.0,1974
The Stepford Wives,2.5,1974
The Sugarland Express,3.0,1974
"The Taking of Pelham 1,2,3",3.25,1974
Thieves Like Us,3.25,1974
Young Frankenstein,3.75,1974
A Slightly Pregnant Man,2.5,1973
Bang The Drum Slowly,3.5,1973
Blume In Love,2.5,1973
Charley Varrick,2.5,1973
Cinderella Liberty,3.5,1973
Cops and Robbers,2.75,1973
Cries & Whispers,3.5,1973
Day For Night,4.0,1973
High Plains Drifter,3.0,1973
Jesus Christ Superstar,3.0,1973
Live And Let Die,2.25,1973
Magnum Force,2.75,1973
Mean Streets,4.0,1973
Paper Moon,4.0,1973
Pappilion,2.75,1973
Pat Garrett And Billy The Kid,3.0,1973
Save the Tiger,4.0,1973
Scarecrow,2.75,1973
Serpico,3.75,1973
Sleeper,3.75,1973
Soylent Green,2.25,1973
The 3 Musketeers,3.75,1973
The Day of the Jackal,3.5,1973
The Friends Of Eddie Coyle,3.5,1973
The Last Detail,3.75,1973
The Laughing Policeman,2.75,1973
The Long Good Friday,3.5,1973
The Long Goodbye,3.5,1973
The Macintosh Man,3.25,1973
The Paper Chase,3.25,1973
The Seven-Ups,2.5,1973
The Sting,4.0,1973
The Wicker Man,3.25,1973
Across 110th Street,2.0,1972
American Graffiti,3.75,1972
"Aquirre, The Wrath of God",3.5,1972
Avanti,3.0,1972
Bad Company,3.0,1972
Bananas,3.5,1972
Cabaret,3.5,1972
Deliverence,3.0,1972
Duck You Sucker,3.0,1972
Everything You Wanted to Know About Sex,3.0,1972
Fat City,3.0,1972
Frenzy,3.0,1972
Gumshoe,2.75,1972
Hollywood: The Dream Factory,2.5,1972
Jeremiah Johnson,3.5,1972
Junior Bonner,2.5,1972
Lady Sings the Blues,3.25,1972
Last Of The Red Hot Lovers,2.5,1972
Last Tango In Paris,3.25,1972
Pocket Money,2.75,1972
Prime Cut,2.5,1972
Pulp,2.5,1972
Silent Running,3.0,1972
Slaughterhouse Five,3.0,1972
Sleuth,3.5,1972
The Candidate,3.0,1972
The Discrete Charm of the Bourgeoise,3.75,1972
The Effect Of Gamma Rays ï¿½,3.0,1972
The Getaway,3.0,1972
The Godfather,4.0,1972
The Hot Rock,3.0,1972
The Life And Times of Judge Roy Bean,3.0,1972
Un Flic,3.5,1972
What's Up Doc,3.75,1972
A New Leaf,3.0,1971
Billy Jack,2.5,1971
Carnal Knowledge,2.75,1971
Chloe In The Afternoon,3.25,1971
Diamonds Are Forever,2.5,1971
Dirty Harry,2.75,1971
Fiddler on the Roof,3.5,1971
Get Carter,2.25,1971
Gumshoe,2.75,1971
Hannie Caulder,2.25,1971
Happy Birthday Wanda June,2.75,1971
Harold and Maude,3.25,1971
Klute,3.5,1971
Le Mans,2.25,1971
McCabe and Mrs. Miller,3.75,1971
Murphy's War,3.0,1971
Pioneers In Ingolstadt,2.75,1971
Play Misty For Me,3.0,1971
Plaza Suite,2.75,1971
Shoot Out,2.25,1971
Straw Dogs,3.0,1971
Support Your Local Gunfighter,2.5,1971
The Anderson Tapes,3.5,1971
The Crook,3.0,1971
The French Connection,3.25,1971
The Garden Of The Finzi-Continis,3.5,1971
The Last Picture Show,4.0,1971
The Omega Man,2.0,1971
The Skin Game,2.75,1971
Two-Lane Blacktop,2.25,1971
Vanishing Point,2.25,1971
Willie Wonka and the Chocolate Factory,3.25,1971
Bed & Board,3.25,1970
Beyond The Valley Of The Dolls,2.5,1970
Brewster McCloud,2.75,1970
Catch-22,3.25,1970
Chariots of the Gods,1.5,1970
Chisum,2.5,1970
El Topo,1.0,1970
Five Easy Pieces,3.75,1970
Gimme Shelter,3.25,1970
Kelly's Heroes,3.25,1970
Le Boucher,3.5,1970
Le Cercle Rouge,4.0,1970
Little Big Man,4.0,1970
Love Story,3.0,1970
Mash,4.0,1970
My Night At Mauds,3.5,1970
Ned Kelly,2.0,1970
"On a Clear Day, You Can See Forever",2.25,1970
Patton,3.25,1970
Performance,2.75,1970
Start the Revolution Without Me,2.5,1970
The American Soldier,2.5,1970
The Ballad Of Cable Hogue,2.75,1970
The Cheyenne Social Club,2.25,1970
The Conformist,3.5,1970
The Great White Hope,3.5,1970
The Owl and the Pussycat,3.0,1970
The Private Life Of Sherlock Homes,3.25,1970
The Wild Child,3.0,1970
There Was A Crooked Man,2.5,1970
Woodstovk,3.75,1970
Army Of Shadows,3.75,1969
Bob&Carol&Ted&Alice,3.0,1969
Butch Cassidy,4.0,1969
Cactus Flower,3.25,1969
Castle Keep,2.75,1969
Donkey Skin,3.0,1969
Downhill Racer,3.25,1969
Easy Rider,3.25,1969
Goodbye Columbus,3.0,1969
Love Is Colder Than Death,2.75,1969
Marooned,3.0,1969
Medium Cool,3.0,1969
Mississippi Mermaid,3.25,1969
Oh What A Lovely War,2.75,1969
Once Upon A Time in The West,3.75,1969
Putney Swope,1.75,1969
Simon Of The Desert,3.25,1969
Stolen Kisses,3.25,1969
Support Your Local Sherrif,3.0,1969
Sweet Charity,2.5,1969
Take the Money and Run,3.0,1969
The Good Guys And The Bad Guys,2.75,1969
The Illustrated Man,2.25,1969
The Italian Job,2.75,1969
The Reivers,3.0,1969
The Wild Bunch,4.0,1969
"They Shoot Horses, Don't They?",3.5,1969
Those Daring Young Men in Their Jaunty Jalopies,2.75,1969
Winning,2.75,1969
Young Billy Young,2.5,1969
2001,3.5,1968
Belle De Jour,3.5,1968
Bullitt,3.25,1968
Charly,3.25,1968
Chitty Chitty Bang Bang,3.0,1968
Firecreek,2.75,1968
Hang Em High,2.75,1968
Monterey Pop,3.25,1968
Planet Of The Apes,2.5,1968
Play Dirty,2.75,1968
"Rachel, Rachel",2.75,1968
Shame,3.5,1968
Targets,3.25,1968
The Bride Wore Black,3.75,1968
The Devil's Brigade,2.5,1968
The Fireman's Ball,3.5,1968
The Love Bug,3.0,1968
The Odd Couple,3.0,1968
The Producers,3.75,1968
The Secret War Of Harry Frigg,2.75,1968
The Swimmer,3.0,1968
The Thomas Crown Affair,2.25,1968
Where Eagles Dare,3.25,1968
Where Were You When The Lights Went Out?,2.75,1968
Wild In The Streets,2.25,1968
With Six You Get Eggroll,2.5,1968
A Fistful Of Dollars,3.5,1967
Bedazzled,3.25,1967
Bonnie and Clyde,4.0,1967
Cool Hand Luke,3.75,1967
"Divorce, American Style",3.0,1967
Don't Look Back,3.0,1967
El Dorado,3.25,1967
Enter Laughing,3.25,1967
Fitzwilly,2.75,1967
For A Few Dollars More,3.25,1967
Guess Who's Coming to Dinner,3.5,1967
Hot Rods To Hell,1.5,1967
Hour Of The Gun,2.5,1967
How To Succeed in Business Without Really Trying,3.25,1967
In Like Flint,2.75,1967
In The Heat of the Night,4.0,1967
King Of Hearts,3.5,1967
La Collectioneuse,2.75,1967
La Vie De Chateau,3.25,1967
Le Samourai,3.5,1967
Point Blank,3.5,1967
The Battle Of Algiers,4.0,1967
The Busy Body,2.5,1967
The Flim Flam Man,3.0,1967
"The Good, The Bad Sand The Ugly",4.0,1967
The Graduate,3.75,1967
The President's Analyst,3.25,1967
The Two Of Us,3.5,1967
Thoroughly Modern Millie,3.0,1967
To Sir With Love,3.25,1967
Two For The Road,3.5,1967
Up the Down Staircase,2.75,1967
